CMBO,SSO,SSA,WHO,SMO,HYBRID
1.000681295,1.000475341,1.000561153,1.000657816,1.000686506,1.00052435
1.0005654,1.000475341,1.000561153,1.00067099,1.000578341,1.00052435
1.0005654,1.000475341,1.0004682,1.00050495,1.000691757,1.000454215
1.0005654,1.000475341,1.0004682,1.000552756,1.000697047,1.000454215
1.0005654,1.000475341,1.0004682,1.000584755,1.000793597,1.000430655
1.0005654,1.000475341,1.0004682,1.000793597,1.000678188,1.000430655
1.0005654,1.000475341,1.0004682,1.000621698,1.000812043,1.000430655
1.0005654,1.000475341,1.0004682,1.000676123,1.00060975,1.000430655
1.000493646,1.000475341,1.0004682,1.000758027,1.000587138,1.000430655
1.000450779,1.000475341,1.0004682,1.000769693,1.000582722,1.000430655
1.000450779,1.000475341,1.0004682,1.00063329,1.000729659,1.000430655
1.000450779,1.000475341,1.0004682,1.000657816,1.000616964,1.000430655
1.000450779,1.0004682,1.0004682,1.000591589,1.000746545,1.000430655
1.000450779,1.0004682,1.0004682,1.000528317,1.000582722,1.000430655
1.000450779,1.0004682,1.0004682,1.000740872,1.0005654,1.000430655
1.000450779,1.0004682,1.0004682,1.000482585,1.00067099,1.000430655
1.000450779,1.0004682,1.0004682,1.000702379,1.000636108,1.000430655
1.000450779,1.0004682,1.0004682,1.000628505,1.000758027,1.000430655
1.000450779,1.0004682,1.0004682,1.000735244,1.000493646,1.000430655
1.000450779,1.0004682,1.0004682,1.00067099,1.000619052,1.000430655
1.000450779,1.0004682,1.0004682,1.000769693,1.000638114,1.000430655
1.000450779,1.0004682,1.0004682,1.000580283,1.000497387,1.000430655
1.000450779,1.0004682,1.0004682,1.000619052,1.000544486,1.000430655
1.000450779,1.0004682,1.0004682,1.000614382,1.000735244,1.000430655
1.000450779,1.0004682,1.0004682,1.000662844,1.000647883,1.000430655
