CMBO,SSO,SSA,WHO,SMO,HYBRID
1.000584755,1.000624419,1.000629868,1.00054273,1.000582722,1.000535764
1.000584755,1.000706981,1.000598009,1.00054273,1.000612264,1.000535764
1.000584755,1.000790134,1.000594148,1.00049578,1.000578965,1.000535764
1.000584755,1.000740066,1.000479986,1.00049578,1.000675388,1.000535764
1.000584755,1.000564183,1.000479986,1.00049578,1.000625789,1.000535764
1.000584755,1.000613718,1.000479986,1.00049578,1.000575232,1.000535764
1.000564183,1.000624419,1.000479986,1.00049578,1.000821889,1.000535764
1.000564183,1.000502236,1.000479986,1.00049578,1.000769693,1.000535764
1.000564183,1.000551044,1.000479986,1.00049578,1.000553351,1.000535764
1.000564183,1.000740066,1.000479986,1.000458668,1.000617714,1.000535764
1.000564183,1.000525481,1.000479986,1.000458668,1.000532314,1.000522097
1.000564183,1.000617714,1.000479986,1.000458668,1.000654961,1.000522097
1.000564183,1.000577107,1.000479986,1.000458668,1.000645188,1.000441093
1.000564183,1.000654961,1.000479986,1.000458668,1.000601896,1.000441093
1.000564183,1.000621737,1.000479986,1.000458668,1.00067671,1.000441093
1.00054273,1.000702379,1.000479986,1.000458668,1.000654961,1.000441093
1.00054273,1.000642281,1.000479986,1.000458668,1.000590314,1.000441093
1.00054273,1.00060581,1.000479986,1.000458668,1.000720971,1.000441093
1.00054273,1.000730454,1.000479986,1.000458668,1.000594148,1.000441093
1.00054273,1.000640982,1.000479986,1.000458668,1.000435372,1.000441093
1.00054273,1.000594148,1.000479986,1.000458668,1.000679814,1.000441093
1.00054273,1.000632649,1.000479986,1.000458668,1.00060975,1.000441093
1.00054273,1.00074492,1.000479986,1.000458668,1.000525481,1.000441093
1.00054273,1.000666621,1.000479986,1.000458668,1.000843824,1.000441093
1.00054273,1.000681155,1.000479986,1.000458668,1.000575232,1.000441093
